GSM	Stem6
GSM1010938	-0.104767113924026
GSM1010940	-0.100961424410343
GSM1010942	-0.0838117823004723
GSM1010944	-0.071896106004715
GSM1010946	-0.0861992985010147
GSM1010948	-0.0837782993912697
GSM1010950	-0.0796157643198967
GSM1010952	-0.107326440513134
GSM1010956	-0.0872838571667671
GSM1010958	-0.104575246572495
GSM1010960	-0.123648837208748
GSM1010964	-0.0677035599946976
GSM1010966	-0.0884367451071739
GSM1010968	-0.0881567597389221
GSM1010970	-0.0473814234137535
GSM1010972	-0.0860920175909996
GSM1010974	-0.107686936855316
GSM1010976	-0.105408698320389
GSM1013119	0.374137699604034
GSM1013121	-0.0472750142216682
GSM1013122	-0.0779522955417633
GSM1013123	0.0313313491642475
GSM1013124	-0.104468308389187
GSM1013125	0.0681532844901085
GSM1013126	-0.0994955599308014
GSM1013127	-0.0844563767313957
GSM1013128	-0.052539799362421
GSM1013129	-0.0660567879676819
GSM1013130	0.0144434673711658
GSM1013131	0.0817540138959885
GSM1013132	-0.100331589579582
GSM1013133	0.27206739783287
GSM1013141	-0.00170512218028307
GSM1013142	0.0599307306110859
GSM1013143	0.106560908257961
GSM1013144	-0.114568836987019
GSM1013145	-0.00490776309743524
GSM1013146	0.0510554164648056
GSM1013147	-0.103575333952904
GSM1013148	0.10684110969305
GSM1013149	0.0226662922650576
GSM1013150	0.0862578526139259
GSM1013151	-0.036938764154911
GSM1013158	0.00864454079419374
GSM1013159	-0.0551000908017159
GSM1013160	0.26928323507309
GSM1013161	0.237838819622993
GSM1013162	0.298035144805908
GSM1013163	0.0240421257913113
GSM1013164	0.607586979866028
GSM1013165	0.251575171947479
GSM1013166	0.463368505239487
GSM1013167	0.251665472984314
GSM1013168	0.357546776533127
GSM1013169	0.0800114572048187
GSM1013170	0.209108918905258
GSM1013171	0.468316912651062
GSM1013172	0.482997387647629
GSM1013173	-0.0861028432846069
GSM1013174	0.475724071264267
GSM1024605	0.262063920497894
GSM1024606	0.339547097682953
GSM1024607	0.291571885347366
GSM1024608	0.207560688257217
GSM1024609	0.445011705160141
GSM1024610	0.302104473114014
GSM1027287	0.523864924907684
GSM1027288	0.379312694072723
GSM1027289	0.60980224609375
GSM1027290	0.354732930660248
GSM1027291	0.373158693313599
GSM1027292	0.568491458892822
GSM1027293	0.164387971162796
GSM1027294	0.298802137374878
GSM1027295	0.272336155176163
GSM1027296	0.116258874535561
GSM1027297	-0.0864985883235931
GSM1027298	0.0399514138698578
GSM1027299	0.617383897304535
GSM1027300	0.569900453090668
GSM1027301	0.620100498199463
GSM1027303	0.118421480059624
GSM1027304	0.67847615480423
GSM1027305	0.385834455490112
GSM1027306	0.124626435339451
GSM1027307	0.201112553477287
GSM1027308	0.36426717042923
GSM1027309	0.263718515634537
GSM1027310	0.317407101392746
GSM1027311	0.434949904680252
GSM1027312	0.335008293390274
GSM1027313	0.337612092494965
GSM1027314	0.125198677182198
GSM1027315	0.150869607925415
GSM1027316	0.102460794150829
GSM1027317	0.0688415318727493
GSM1027318	0.339272230863571
GSM1027319	0.249461859464645
GSM1027320	0.241147369146347
GSM1027321	0.0864577442407608
GSM1027322	0.186080873012543
GSM1027323	0.311018079519272
GSM1027324	0.217785984277725
GSM1027325	0.442345649003983
GSM1027326	0.438407808542252
GSM1027327	0.236951544880867
GSM1027328	0.220369666814804
GSM1027329	0.178452953696251
GSM1027330	0.182377859950066
GSM1027331	0.282435119152069
GSM1027332	0.138904273509979
GSM1027333	0.191090255975723
GSM1027334	0.267757803201675
GSM1027335	0.36168161034584
GSM1027336	0.318185657262802
GSM1027337	0.162745505571365
GSM1027338	0.267225563526154
GSM1027339	0.349411606788635
GSM1027340	0.294484823942184
GSM1027341	0.271295130252838
GSM1027342	0.110909126698971
GSM1027343	0.183138608932495
GSM1027344	0.240604445338249
GSM1027345	0.261041969060898
GSM1027346	0.150937557220459
GSM1027347	0.220873013138771
GSM1027348	0.571283400058746
GSM1027349	0.216925397515297
GSM1027350	0.558619499206543
GSM1027351	0.578760743141174
GSM1036258	0.661629259586334
GSM1036259	0.32638081908226
GSM1036260	0.563441753387451
GSM1036372	0.198975637555122
GSM1036373	0.116467505693436
GSM1036374	0.164105907082558
GSM1058764	0.588195562362671
GSM1058765	0.437961310148239
GSM1058766	0.474443972110748
GSM1058767	0.48247891664505
GSM1058768	0.464981824159622
GSM1058769	0.258686542510986
GSM1058770	-0.0254014860838652
GSM1058771	0.205122828483582
GSM1058772	0.00161509215831757
GSM1058773	0.14698001742363
GSM1058774	0.143451720476151
GSM1058775	0.375944316387177
GSM1058776	0.357852160930634
GSM1058777	0.0646937191486359
GSM1058778	-0.0535835288465023
GSM1058779	0.564780175685883
GSM1058780	0.490520060062408
GSM1058781	0.640285611152649
GSM1058782	0.519830882549286
GSM1058783	0.529333055019379
GSM1058784	0.657923996448517
GSM1058785	0.596490085124969
GSM1058786	0.598766326904297
GSM1058787	0.632386207580566
GSM1058788	0.669020593166351
GSM1058789	0.655793786048889
GSM1059437	0.125309899449348
GSM1059438	0.100567281246185
GSM1059439	0.0401632785797119
GSM1059440	0.191027820110321
GSM1059441	0.133228570222855
GSM1059442	0.0618310756981373
GSM1059443	0.132041230797768
GSM1059444	0.0767524093389511
GSM1059445	0.162904873490334
GSM1059446	0.080283597111702
GSM1059447	0.0624025464057922
GSM1059448	0.276445835828781
GSM1059449	0.0694718733429909
GSM1059450	0.115825265645981
GSM1059451	0.113747492432594
GSM1059456	0.565943002700806
GSM1059457	0.562367975711823
GSM1059458	0.339264631271362
GSM1067793	-0.113868840038776
GSM1067795	-0.1180085465312
GSM1101661	-0.0946913436055183
GSM1101662	-0.0893038138747215
GSM1101663	-0.0951899364590645
GSM1101664	-0.100517086684704
GSM1101665	-0.113619834184647
GSM1101666	-0.107980132102966
GSM1101667	-0.108800068497658
GSM1101668	-0.107034370303154
GSM1101669	-0.0934278890490532
GSM1101670	-0.0907480046153069
GSM1101671	-0.0880000665783882
GSM1101672	-0.0873995274305344
GSM1101673	-0.0853251442313194
GSM1101674	-0.0881714001297951
GSM1101675	-0.0860135555267334
GSM1101676	-0.0874143540859222
GSM1101677	-0.0810328125953674
GSM1101678	-0.0921595767140388
GSM1101679	-0.0904647335410118
GSM1101680	-0.110258489847183
GSM1101681	-0.110775396227837
GSM1101682	-0.0919021368026733
GSM1101683	-0.0742077305912971
GSM1101684	-0.0885092318058014
GSM1101685	-0.0751842111349106
GSM1101686	-0.0857562273740768
GSM1101687	-0.0641855448484421
GSM1101688	-0.096776194870472
GSM1101689	-0.0752711370587349
GSM1101690	-0.0721644908189774
GSM1101691	-0.0603035166859627
GSM1101692	-0.0755433440208435
GSM1101693	-0.0803721770644188
GSM1101694	-0.0726928114891052
GSM1101695	-0.0808501392602921
GSM1101696	-0.0810014083981514
GSM1101697	-0.0874428749084473
GSM1101698	-0.0867617353796959
GSM1101699	-0.0771540850400925
GSM1101700	-0.0804843083024025
GSM1101701	-0.0918654724955559
GSM1101702	-0.0935117676854134
GSM1101703	-0.0885072574019432
GSM1101704	-0.0835605934262276
GSM1101705	-0.0897130519151688
GSM1101706	-0.0660700649023056
GSM1101707	-0.0724793151021004
GSM1101708	-0.077131099998951
GSM1101709	-0.0736336782574654
GSM1101710	-0.0836712792515755
GSM1101711	-0.0990407094359398
GSM1102781	0.578407108783722
GSM1102782	-0.0109532568603754
GSM1102783	0.106097154319286
GSM1102784	0.233605369925499
GSM1102785	0.286792933940887
GSM1102786	-0.0845965817570686
GSM1102787	-0.030665397644043
GSM1102788	0.0805196836590767
GSM1102789	-0.0234582759439945
GSM1102790	0.247631341218948
GSM1102791	0.535063922405243
GSM1102792	0.17479644715786
GSM1102793	0.0394799262285233
GSM1102794	0.317808359861374
GSM1102795	0.0292078778147697
GSM1102796	0.166388526558876
GSM1102797	0.561424136161804
GSM1102798	0.612593829631805
GSM1102799	0.578484296798706
GSM1102800	0.599780917167664
GSM1102801	0.140863969922066
GSM1102802	0.27498334646225
GSM1102803	0.601374447345734
GSM1102804	0.0540704391896725
GSM1102805	0.702441036701202
GSM1102806	0.704413115978241
GSM1102807	0.380948573350906
GSM1102808	0.651986300945282
GSM1102809	0.587588012218475
GSM1112774	0.5625039935112
GSM1112775	0.590624272823334
GSM1112776	0.52608048915863
GSM1112777	0.595353007316589
GSM1112778	0.244895592331886
GSM1112779	0.135934859514236
GSM1112780	0.156767517328262
GSM1112781	0.601385593414307
GSM1112782	0.647193789482117
GSM1112783	0.492537707090378
GSM1112784	0.607149600982666
GSM1112785	0.606328248977661
GSM1112786	0.194813311100006
GSM1112787	0.137683138251305
GSM1112788	0.393449604511261
GSM1112789	0.472934395074844
GSM1112790	0.380195766687393
GSM1112791	0.15170331299305
GSM1112792	0.193214192986488
GSM1112793	0.262434244155884
GSM1112794	0.171833395957947
GSM1112795	0.230302095413208
GSM1112796	0.319995284080505
GSM1112797	0.186739966273308
GSM1112798	0.199147373437881
GSM1112799	0.329085350036621
GSM1112800	0.442300021648407
GSM1112801	0.181025981903076
GSM1112802	0.20702813565731
GSM1112803	0.590634167194366
GSM1112804	0.600141227245331
GSM1112805	0.436686605215073
GSM1112806	0.394292324781418
GSM1112807	0.244543150067329
GSM1112808	0.314234793186188
GSM1112809	0.0824468806385994
GSM1112810	0.25103372335434
GSM1112811	0.258516311645508
GSM1112812	0.198356807231903
GSM1112813	0.336301356554031
GSM1112814	0.3774094581604
GSM1112823	0.203611880540848
GSM1112824	0.163387522101402
